date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-20,02,BTC-231020-26500-C,BTCUSDT,C,231020-26500,2210.00000000,2210.00000000,2210.00000000,2210.00000000,0E-8,0E-8,15.00000000,2865.00000000,4.71000000,0.04000000,"",4.75080490,2479.00000000,0.77500000,0.99999935,1E-8,0.00002270,-0.00422223,17.32000000,502256.72599522
2023-10-20,02,BTC-231027-32000-P,BTCUSDT,P,231027-32000,6090.00000000,6090.00000000,3565.00000000,3565.00000000,0.01000000,0.01000000,2705.00000000,3315.00000000,2.30000000,2.14000000,"",0.74584961,3068.00000000,0.44792480,-0.93868240,0.00006642,4.93436739,-15.33101964,1.93000000,55967.42015765
2023-10-20,04,BTC-240329-45000-P,BTCUSDT,P,240329-45000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,15735.00000000,41345.00000000,1.50000000,3.92000000,"",4.93366241,18316.00000000,0.85656471,-0.68018718,0.00002143,69.64582684,-18.51238273,0E-8,0E-8
2023-10-20,05,BTC-231020-27500-P,BTCUSDT,P,231020-27500,35.00000000,45.00000000,5.00000000,5.00000000,78.64000000,78.64000000,0E-8,5.00000000,0E-8,2.92000000,"",1.89814985,1.00000000,1.08750000,-0.00010554,8.7E-7,0.00183833,-1.19934530,115.55000000,3375966.22155335
2023-10-20,05,BTC-231027-32000-C,BTCUSDT,C,231027-32000,40.00000000,95.00000000,40.00000000,95.00000000,17.42000000,17.42000000,85.00000000,90.00000000,5.62000000,14.33000000,"",0.49131215,87.00000000,0.48771739,0.09639918,0.00008605,6.95500868,-23.94404568,328.19000000,9588562.13112586
2023-10-20,05,BTC-231103-29500-P,BTCUSDT,P,231103-29500,1465.00000000,1465.00000000,1465.00000000,1465.00000000,0E-8,0E-8,880.00000000,910.00000000,1.50000000,2.89000000,"",0.33180892,894.90000000,0.32521456,-0.54615053,0.00021227,22.74661682,-26.26340241,14.81000000,432696.31969888
2023-10-20,06,BTC-231124-25000-C,BTCUSDT,C,231124-25000,3900.00000000,3900.00000000,3900.00000000,3900.00000000,0E-8,0E-8,4595.00000000,5370.00000000,1.50000000,1.50000000,"",0.81049919,4951.00000000,0.64938784,0.81232223,0.00004571,24.43560427,-22.64187246,63.44000000,1856789.17828574
2023-10-20,06,BTC-231229-45000-C,BTCUSDT,C,231229-45000,195.00000000,280.00000000,195.00000000,240.00000000,22.04000000,22.04000000,235.00000000,270.00000000,9.93000000,2.86000000,"",0.63749015,252.10000000,0.62806249,0.07720780,0.00001796,18.56365945,-8.32300025,20.77000000,607905.28425275
2023-10-20,09,BTC-240329-40000-P,BTCUSDT,P,240329-40000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,11145.00000000,11190.00000000,2.40000000,1.50000000,"",0.46957493,11167.00000000,0.46565771,-0.78746066,0.00003150,57.42540080,-8.30882820,0E-8,0E-8
2023-10-20,10,BTC-231027-28000-C,BTCUSDT,C,231027-28000,840.00000000,2040.00000000,840.00000000,2040.00000000,21.88000000,21.88000000,1965.00000000,2025.00000000,1.50000000,0.08000000,"",0.48376083,1993.00000000,0.45129538,0.85687364,0.00012218,9.25716665,-30.38334159,215.10000000,6424665.39702146
2023-10-20,11,BTC-231027-26500-C,BTCUSDT,C,231027-26500,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,3175.00000000,3745.00000000,3.06000000,2.75000000,"",0.99555492,3402.70000000,0.57277746,0.93990745,0.00005100,4.86960869,-20.40876133,0E-8,0E-8
2023-10-20,16,BTC-240628-35000-P,BTCUSDT,P,240628-35000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,7385.00000000,9030.00000000,4.41000000,3.51000000,"",0.55586576,8195.00000000,0.46880305,-0.59680999,0.00003372,94.80489710,-8.83155940,0E-8,0E-8
2023-10-20,20,BTC-240927-22000-C,BTCUSDT,C,240927-22000,9650.00000000,9650.00000000,9650.00000000,9650.00000000,0E-8,0E-8,9490.00000000,11605.00000000,4.39000000,3.26000000,"",0.74254274,10528.00000000,0.61490297,0.78659269,0.00001652,83.34650181,-7.48266359,0.02000000,591.53878901
2023-10-20,21,BTC-240329-29000-P,BTCUSDT,P,240329-29000,3895.00000000,3895.00000000,3275.00000000,3275.00000000,0.01000000,0.01000000,2980.00000000,3580.00000000,1.50000000,1.82000000,"",0.50283670,3280.00000000,0.46357751,-0.41220789,0.00004277,76.41886081,-11.04188963,22.75000000,673671.90249996
2023-10-20,22,BTC-231027-25500-C,BTCUSDT,C,231027-25500,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,3955.00000000,4805.00000000,2.82000000,2.59000000,"",1.44195557,4257.40000000,0.77500000,0.93702698,0.00004071,4.85094046,-29.48605514,0E-8,0E-8
2023-10-20,22,BTC-231027-29000-C,BTCUSDT,C,231027-29000,430.00000000,1300.00000000,385.00000000,955.00000000,36.54000000,36.54000000,895.00000000,955.00000000,0.28000000,7.14000000,"",0.35974741,924.00000000,0.33760846,0.70366081,0.00026117,13.55790167,-35.90003097,209.31000000,6205784.94574196
2023-10-20,22,BTC-231124-25000-C,BTCUSDT,C,231124-25000,5185.00000000,5185.00000000,5185.00000000,5185.00000000,0.01000000,0.01000000,4970.00000000,5815.00000000,1.50000000,1.50000000,"",0.87146282,5355.00000000,0.69179535,0.81937642,0.00004175,23.94490434,-24.09449874,63.43000000,1880621.75294259
